标题,户型,户型1,房屋面积,楼层,小区,租赁类型,朝向,轨道交通,租金,地区
广中路紫金公馆好房出租 入住好礼 素质舍友 优惠多多,3室,1厅,51平米,20/28层,紫金公馆,整租,东南,无,3400,hongkou安居客
蛋壳公寓直租 精装主卧 房间实拍 性价比高,3室,1厅,20平米,11/27层,海伦西路30弄小区,合租,东南,3/4/10号线,1320,hongkou安居客
居住新体验无中介卧室飘窗阳台厨房卫生间，随时随地带你看房,3室,1厅,24平米,17/22层,飘鹰东方花园,合租,东南,10号线,1770,hongkou安居客
曲阳东体南北通透 好格局 地段 急租,3室,1厅,18平米,9/27层,东体小区,合租,东南,3/8号线,1490,hongkou安居客
虹口足球场鲁迅公园广中一村朝南精装一室一厅随时看房拎包入住急,1室,1厅,45平米,1/6层,广中一村,整租,朝南,3号线,3899,hongkou安居客
诚意出租，精装舒适，家电齐全离地铁站近，适合上班族,3室,1厅,43平米,6/26层,求精大楼,合租,朝南,无,2800,hongkou安居客
畅想真正的品质公寓生活，回家就是一种度假，生活空间更惬意,3室,1厅,20平米,18/26层,恒业路118弄小区,合租,东南,3/8号线,1180,hongkou安居客
《花园城三期》业主自住精装修电梯2房2厅全配置，双！！,2室,2厅,102平米,8/11层,花园城(三期),整租,南北,3/8号线,7000,hongkou安居客
精致装修，家电齐全南北通透，采光好急租，拎包入住,1室,1厅,27平米,12/20层,东体小区,整租,东南,3/8号线,2220,hongkou安居客
江湾镇金枫里蛋壳公寓入找房终结者 极速免费宽带，游戏畅玩,1室,1厅,29平米,11/28层,金枫里,整租,东南,3号线,2820,hongkou安居客
瑞虹六期+老房东直租+高档住宅+豪装地暖大三房+拎包入住！！,3室,2厅,155平米,26/36层,瑞虹新城怡庭,整租,南北,4号线,13000,hongkou安居客
和平公园金轩大邸婚房出租 全新全套家具家电 温馨舒适,3室,1厅,21平米,15/25层,金轩大邸,整租,东南,8/10号线,1210,hongkou安居客
南北通透 采光好 地段 环境优美 交通便利 方便出行,3室,1厅,45平米,17/32层,兰侨大厦,整租,朝南,4/12号线,3020,hongkou安居客
蛋壳公寓 别和好房擦肩而过  找房终结者！,3室,1厅,18平米,11/24层,玉四小区,合租,东南,8号线,1140,hongkou安居客
带飘窗单间，整洁舒适，配套齐全，随时看房,3室,1厅,51平米,23/30层,宝华城市花园,整租,东南,无,3000,hongkou安居客
家具家电全齐 拎包即住  新房装修出租 先到先得,1室,1厅,24平米,17/26层,巴林别墅,整租,东南,无,2140,hongkou安居客
凉城商业二村精装大标间 舒适温馨的布局 好楼层,3室,1厅,22平米,7/23层,商业二村,整租,东南,3号线,1750,hongkou安居客
坐公交 在转地铁？不 住蛋壳，分就让到地铁口,3室,1厅,17平米,22/30层,江杨家园,整租,东南,无,1670,hongkou安居客
何家宅小区，精装修，目前已空关，看房有钥匙，近龙之梦,1室,1厅,41平米,3/6层,何家宅小区,整租,朝南,3/8号线,5000,hongkou安居客
坐公交，在转地铁？不，住蛋壳，分就让到地铁口,3室,1厅,18平米,20/28层,金枫里,合租,东南,3号线,1030,hongkou安居客
蛋壳公寓直租 押一付一  近地铁站 性价比高,3室,1厅,18平米,3/13层,宝华城市花园,合租,东南,无,1340,hongkou安居客
江湾镇蔷薇里住蛋壳，豪华装修近地铁，出入无需带钥匙,1室,1厅,33平米,12/24层,蔷薇里,整租,东南,3号线,2870,hongkou安居客
四川北路宝虹新苑好房出租 干净卫生 双周保洁 速速来电,3室,1厅,17平米,22/26层,宝虹新苑,合租,东南,3号线,2700,hongkou安居客
鲁迅公园兴华小区好房出租，家具齐全，装修小清新，随时看房,3室,1厅,18平米,5/21层,兴华小区,整租,东南,3/8号线,1030,hongkou安居客
"来了就不想走！东体小区豪华一房招租中 近3,8号线",1室,0厅,35平米,5/6层,东体小区,整租,南北,3号线,2800,hongkou安居客
精装两房 出门就是10号线邮电新村站 全新全配 看房钥匙,2室,2厅,115平米,8/16层,华虹公寓,整租,南北,10号线,8500,hongkou安居客
和时间赛跑，赶地铁，住蛋壳公寓，出门左右拐就到地铁站,3室,1厅,20平米,18/26层,建邦16区,合租,东南,10号线,1310,hongkou安居客
南北通透 采光好 地段 环境优美 交通便利 方便出行,3室,1厅,18平米,21/28层,北宸佳苑,整租,东南,3号线,1060,hongkou安居客
蛋壳公寓  高颜值北欧风精装 温馨社区氛围,3室,1厅,21平米,18/20层,仪表大楼,整租,东南,8/10号线,1780,hongkou安居客
超出租 家具家电齐全 楼层低 价位低 交通便利,3室,1厅,17平米,16/22层,国际明佳城,整租,东南,4/10号线,1350,hongkou安居客
广中路广联新苑住蛋壳 豪华装修近地铁 出入无需带钥匙,3室,1厅,17平米,14/21层,广联新苑,合租,东南,8号线,1060,hongkou安居客
曲阳密云精装电梯房，高品质服务，家具齐全，随时带看,1室,1厅,32平米,10/26层,密云花苑,整租,东南,10号线,2990,hongkou安居客
大柏树北宸佳苑精装修 欧洲现代风格 拎包入住,3室,1厅,17平米,13/25层,北宸佳苑,合租,东南,3号线,1240,hongkou安居客
近轨交3号赤峰路站 新上房源 有钥匙 家电齐全 房东诚租,2室,0厅,32平米,3/6层,广灵二村,整租,朝北,3号线,3800,hongkou安居客
入住减免2300 别和好房擦肩而过 享受居住乐趣,3室,1厅,20平米,12/24层,兴华小区,整租,东南,3/8号线,1950,hongkou安居客
临平路 瑞虹新城（二期） 3室厅2卫 东,3室,0厅,12平米,2/7层,瑞虹新城二期优贤生活,合租,朝东,4号线,3290,hongkou安居客
凉城中环明珠近地铁站小区，精装舒适，在这里遇见更多新朋友,3室,1厅,17平米,7/22层,中环明珠,合租,东南,3号线,1370,hongkou安居客
上班累很辛苦？回我们的家 蛋壳公寓给你不一样的爱,3室,1厅,49平米,23/28层,云舫小区,整租,朝南,4/12号线,3720,hongkou安居客
双气房 朝南户型 采光好 精装修 家具家电齐全 拎包入住,3室,1厅,17平米,18/25层,中信和平家园,整租,东南,10号线,1330,hongkou安居客
赤峰小区 全新精装电梯两房 中层采光好 近8号轻轨 随时看房,2室,1厅,57平米,6/13层,赤峰小区,整租,朝南,无,6600,hongkou安居客
中信和平家园 新出豪装两房 双轨交通 近和平公园 随时看房,2室,1厅,100平米,15/30层,中信和平家园,整租,朝南,10号线,9000,hongkou安居客
精致装修，温暖舒适周边配套设施齐全室友也都十分友好哦,3室,1厅,17平米,14/25层,新中新村,合租,东南,3号线,1370,hongkou安居客
国际明佳城 新出全南一房 环境好有车位 楼下商业街地铁M10,1室,2厅,72平米,19/30层,国际明佳城,整租,朝南,4/10号线,6500,hongkou安居客
水霞小区：双南两房，配套齐全，干净清爽，环境优美，拎包即住,2室,2厅,95平米,6/6层,水霞小区,整租,朝南,无,7000,changning安居客
享受 品质公寓 和谐有序  清新空气自由穿行,3室,1厅,60平米,12/25层,新泾一村,整租,朝南,2号线,3370,changning安居客
双气房 朝南户型 采光好 精装修 家具家电齐全 拎包入住,3室,1厅,22平米,19/27层,通协小区,整租,东南,2号线,1720,changning安居客
入住减免2300 颜控福利 颜控福利 高颜值北欧风精装,3室,1厅,21平米,14/26层,新泾七村,整租,东南,2号线,1320,changning安居客
入住减免2300 颜控福利 强迫症福利 温馨社区氛围 ,3室,1厅,57平米,19/32层,长宁馥邦苑,整租,朝南,2号线,3560,changning安居客
高端小区 电梯楼房 环境好 精装修 房型正气 拎包入住,2室,2厅,90平米,21/30层,海富公寓,整租,朝南,无,6800,changning安居客
近地铁站小区，精装舒适，在这里遇见更多新朋友,3室,1厅,24平米,25/27层,凯欣豪园,整租,东南,2/3/4号线,1690,changning安居客
蛋壳公寓 颜控福利 伴随着阳光起床 做精致女孩！,3室,1厅,16平米,20/23层,通协小区,合租,东南,2号线,1000,changning安居客
靠延安西路3/4号线、近交通大学10/11号线、随时看房,2室,1厅,88平米,21/24层,海富公寓,整租,南北,无,8300,changning安居客
地铁10号线 精装修 朝南两房 带天井,2室,1厅,68平米,1/5层,伊犁小区,整租,朝南,10号线,7000,changning安居客
近地铁3房，精致装修，小区品质高，交通方便，配套齐全！,3室,2厅,130平米,4/9层,王子公寓,整租,南北,10号线,9800,changning安居客
西郊虹许路815弄住宅好房出租 环境优美 贴心管家 速速来电,1室,1厅,34平米,7/28层,虹许路815弄住宅,整租,东南,10号线,2890,changning安居客
入住减免2300 别和好房擦肩而过 享受居住乐趣,1室,1厅,34平米,19/29层,武夷大楼,整租,东南,3/4号线,2690,changning安居客
精装修 拎包入住 省钱省心 交通便利 购物方便,3室,1厅,16平米,8/27层,新泾北苑,合租,东南,2号线,1120,changning安居客
张泾小区 物美价廉 朝南一室户 价格真实 房东诚意出租,1室,0厅,40平米,5/6层,张泾小区,整租,朝南,10号线,3400,changning安居客
高档住宅小区，知名物业管理安全， 全天保安  江苏路地铁附近,2室,2厅,145平米,12/32层,荣轩大厦,整租,朝南,2号线,13800,changning安居客
阳光自在空间  宽敞自我天地  妆点雅致生活,1室,1厅,23平米,23/26层,元丰天山花园,整租,东南,2号线,2030,changning安居客
精致装修，温暖舒适周边配套设施齐全室友也都十分友好哦,3室,1厅,19平米,20/24层,雅典花苑,整租,朝南,10号线,1860,changning安居客
嘉里华庭 高区 大阳台 景观好 会所设施齐全 中央空调加地暖,3室,2厅,175平米,21/33层,嘉里华庭,整租,朝南,无,30000,changning安居客
蛋壳公寓 超享受！全新配置  一人一锁 安全巡查,3室,1厅,22平米,18/27层,虹桥机场新村,合租,东南,10号线,1560,changning安居客
东方剑桥 新出三房 看房有钥匙 全明无遮,3室,2厅,147平米,8/35层,东方剑桥御庭苑,整租,朝南,无,22000,changning安居客
拖包搬家很累赘？选蛋壳啊！直接拎包入住，方便家具样样齐全,1室,1厅,31平米,16/30层,元丰天山花园,整租,东南,2号线,2700,changning安居客
"上海动物园旁高区景观房,面向动物园景观豪华装修 看房随时",3室,2厅,160平米,11/15层,虹桥中园,整租,南北,10号线,14000,changning安居客
中山公园凯欣豪园精装大标间 舒适温馨的布局 好楼层,3室,1厅,19平米,5/25层,凯欣豪园,整租,东南,2/3/4号线,1000,changning安居客
仁恒河滨花园，精 装2房，天山豪 宅，全装全配，看房随时,2室,2厅,138平米,12/18层,仁恒河滨花园,整租,朝南,2号线,13000,changning安居客
湖南路路565弄10号兰庭,4室,2厅,270平米,4/8层,兰庭,整租,南北,11号线,60000,changning安居客
长发虹桥公寓2房，新豪装地暖，景观好，业主自住保养好，有钥匙,2室,2厅,116平米,10/21层,长发虹桥公寓,整租,南北,10号线,10500,changning安居客
"虹日小区,10号线水城路站,简欧风格,浪漫一室一厅,随时看房",1室,2厅,70平米,3/6层,虹日小区,整租,南北,10号线,4200,changning安居客
房主诚意出租，干净清爽，配套设施齐全，看房随时,1室,1厅,22平米,14/24层,虹桥机场新村,整租,东南,10号线,2400,changning安居客
天山娄山精装大标间 舒适温馨的布局 好楼层,3室,1厅,18平米,17/30层,娄山小区,合租,东南,2号线,1710,changning安居客
房位置好 家电齐全 拎包入住 精装修 看了就相中,3室,1厅,19平米,18/24层,新泾三村,整租,东南,2号线,1100,changning安居客
中山公园精致装修，家电全配，交通便利适合白领入住,3室,1厅,17平米,17/27层,中意小区,合租,东南,3/4号线,1330,changning安居客
虹桥路 长虹小区 3室厅2卫 南,3室,0厅,16平米,6/16层,长虹小区,合租,朝南,3/4/10号线,3390,changning安居客
"06年品质小区，8200元，房东急租，近地铁，精装二房,干净",2室,2厅,106平米,15/32层,路易凯旋宫,整租,南北,2/3/4号线,8200,changning安居客
家具家电全齐 拎包即住 低楼层带电梯 新房装修出租,1室,1厅,26平米,17/28层,天山华庭,整租,东南,2号线,2950,changning安居客
江苏路地铁旁 畅园 交通便利 精装全配 南北通透 拎包入住,2室,2厅,110平米,16/30层,畅园,整租,南北,2/11号线,8000,changning安居客
楼层 干净整洁 精装修家具家电齐全 交通便利,3室,1厅,18平米,17/24层,剑河家苑,整租,东南,2号线,1200,changning安居客
江苏路豪宅 畅园 两梯两户 比邻各大校区 业主自住装 有钥匙,2室,2厅,127平米,20/38层,畅园,整租,朝南,2/11号线,13800,changning安居客
坐公交 转地铁？不 ！住蛋壳，分就让到地铁口,3室,1厅,17平米,18/23层,虹古大楼,合租,东南,2/10号线,1490,changning安居客
真实有效 小陶现场实拍 全新精装两房一厅 随时看房 随时入住,2室,1厅,65平米,3/6层,耀华小区,整租,朝南,无,6100,changning安居客
精装一房 干净整洁 中山公园2/3/4号线 真正拎包入住!,1室,1厅,45平米,3/7层,清宁小区,整租,南北,无,3800,changning安居客
精装修 热水 沐浴 家具齐全 免费无线网 电梯房,1室,1厅,22平米,19/22层,长宁馥邦苑,整租,朝南,2号线,2230,changning安居客
精装修 拎包入住 省钱省心 交通便利 购物方便,3室,1厅,19平米,12/28层,仙乐小区,合租,东南,10号线,1260,changning安居客
精致装修，家电齐全南北通透，采光好急租，拎包入住,3室,1厅,15平米,18/27层,天山五村,整租,东南,2号线,1090,changning安居客
浅色系装修，宜家风格，实木地板，有车位，地铁300米看房方便,2室,2厅,97平米,16/18层,中山公寓,整租,南北,2/3/4号线,11000,changning安居客
蛋壳公寓 颜控福利 伴随着阳光起床 做精致女孩！,3室,1厅,77平米,17/21层,虹康花苑(二期),整租,东南,2号线,4600,changning安居客
中山公园龙之梦，豪装两房，全屋地暖，带大浴缸，有车位！,2室,2厅,125平米,10/28层,兆丰嘉园,整租,朝南,2/3/4号线,9000,changning安居客
出租 全明户型 有钥匙 随时住 两房 家具家电齐全,3室,1厅,18平米,26/28层,大西别墅,合租,东南,3/4号线,1960,changning安居客
新议价，嘉年华庭豪装1房，全新装修，有钥匙业主急租！,1室,2厅,75平米,4/9层,古北嘉年华庭(南区),整租,南北,10号线,8000,changning安居客
茅台新苑仙霞楼层 干净整洁 精装修家具家电齐全 交通便利,1室,1厅,28平米,13/29层,茅台新苑,整租,东南,2号线,2640,changning安居客
享受 品质公寓 和谐有序  清新空气自由穿行,1室,1厅,23平米,19/30层,天山四村,整租,东南,2号线,2260,changning安居客
楼下就是大商场，小区出门就是地铁口，不选择蛋壳，我怕你后悔哦,3室,1厅,20平米,9/26层,虹康花苑(二期),合租,东南,2号线,1330,changning安居客
仙霞翠庭近地铁站，适合上班精装豪配，随时看房,3室,1厅,18平米,17/29层,翠庭,合租,东南,2/10号线,1320,changning安居客
中山公园 圣约翰名邸 精装2房2厅 房东装修近2 3 4号线,3室,2厅,130平米,16/32层,圣约翰名邸,整租,东南,2/3/4号线,14000,changning安居客
实拍的超高ins小公寓，美美的小仙女就住蛋壳公寓吧，安全暖心,3室,1厅,21平米,13/21层,新泾家苑,合租,东南,2号线,1730,changning安居客
紧邻地铁 成熟小区 精装修 配套齐全 房型通透 房东头次出租,2室,1厅,70平米,3/7层,中华小区,整租,朝南,3/4/10号线,6600,changning安居客
阳光自在空间  宽敞自我天地  妆点雅致生活,1室,1厅,31平米,15/32层,虹古大楼,整租,东南,2/10号线,2870,changning安居客
|真实豪装|新出租、地暖，飘窗，车位、采光好,2室,2厅,113平米,23/29层,御翠豪庭,整租,南北,10号线,18000,changning安居客
中山公园2/3/4号线精装一房.出门来福士广场.抬头龙之梦,1室,1厅,45平米,6/6层,宁康小区,整租,朝南,2/3/4号线,6000,changning安居客
精装全配，生活便利，多房源可供挑选，随时带看,3室,1厅,17平米,2/20层,新泾七村,整租,东南,2号线,1650,changning安居客
精装修 热水 沐浴 家具齐全 免费无线网 电梯房,3室,1厅,69平米,6/28层,思南公馆东苑,整租,东南,13号线,4550,huangpu安居客
拖包搬家很累赘？选蛋壳啊！直接拎包入住，方便家具样样齐全,3室,1厅,15平米,9/20层,沧海苑,合租,东南,无,1470,huangpu安居客
阳光自在空间  宽敞自我天地  妆点雅致生活,3室,1厅,23平米,9/24层,五岭小区,整租,东南,4号线,1700,huangpu安居客
祥康里人民广场 干净整洁 精 装修家具家电齐全 交通便利,2室,2厅,115平米,2/6层,祥康里,整租,朝南,1/2/8号线,8000,huangpu安居客
五里桥瞿溪路937弄家具齐全 随时看房 押一付一 安全可靠,3室,1厅,18平米,8/22层,瞿溪路937弄小区,合租,东南,4/13号线,1430,huangpu安居客
蛋壳公寓直租 押一付一  房间实拍 独立卫浴,3室,1厅,17平米,20/25层,斜桥公寓,合租,东南,8/9号线,1540,huangpu安居客
双气房 朝南户型 采光 好 精装修 家具家电齐全 拎包入住,1室,1厅,33平米,4/25层,长发大厦,整租,东南,2号线,2520,huangpu安居客
人民广场华盛大公馆南北通透 好格局 地段 急租,3室,1厅,18平米,14/26层,华盛大公馆,合租,东南,1/2/13号线,1190,huangpu安居客
蒙自路601弄小区近地铁站，适合上班精装豪配，随时看房,1室,1厅,30平米,6/24层,蒙自路601弄小区,整租,东南,13号线,2720,huangpu安居客
老西门蛋壳公寓 别和好房擦肩而过  找房终结者！,3室,1厅,19平米,21/28层,大林大楼,整租,东南,8/9号线,1650,huangpu安居客
人民广场金色家园精装大标间 舒适温馨的布局 好楼层,3室,1厅,17平米,14/24层,金色家园,合租,东南,1/8/12/13号线,1450,huangpu安居客
朝南大次卧大阳台带电梯  阳光充足 干净卫生 免费看房,3室,1厅,49平米,18/31层,开元坊,整租,朝南,8/9号线,3150,huangpu安居客
"近鞋城、九院，地段繁华，地铁4/8号线，温馨装修,随时看！",1室,1厅,35平米,7/30层,复兴佳苑,整租,朝南,4/8号线,3800,huangpu安居客
南北通透 采光好 地段 环境优美 交通便利 方便出行,1室,1厅,29平米,12/30层,北海小区,整租,东南,1/2/8号线,2280,huangpu安居客
坐公交，在转地铁？不，住蛋壳，分就让到地铁口,3室,1厅,20平米,14/23层,金色家园,合租,东南,1/8/12/13号线,1700,huangpu安居客
拎包即可入住，干净整洁的公寓住所，座的你都挑不出来毛病,1室,1厅,21平米,13/31层,三德坊,整租,东南,1号线,2310,huangpu安居客
新+老西门新苑楼.王+高区南北向3房+首.次出租随时看,3室,2厅,150平米,20/31层,老西门新苑,整租,南北,8/9/10号线,15000,huangpu安居客
豫园复地雅园住的舒心速速来电干净整洁,1室,1厅,26平米,18/22层,复地雅园,整租,东南,10号线,2360,huangpu安居客
永业公寓二期，豪装3房，房东急租，看房非常方便，价格有空间,3室,2厅,155平米,25/35层,永业公寓,整租,南北,9/13号线,18000,huangpu安居客
档次小区，精装修，拎包入住,2室,1厅,65平米,15/16层,振兴大楼,整租,朝南,1号线,8000,huangpu安居客
播送一条通知，因您颜值太高，蛋壳公寓以价给你出租房屋哦,3室,1厅,18平米,10/25层,永业公寓,整租,东南,9/13号线,1160,huangpu安居客
品质小区 近地铁4/13号线 双南两房 精装全配 随时拎包住,2室,1厅,65平米,16/29层,海上梦苑,整租,朝南,4/13号线,6000,huangpu安居客
房位置好 家电齐全 拎包入住 精装修 看了就相中,3室,1厅,18平米,20/28层,振华里小区,整租,东南,10/13号线,1770,huangpu安居客
蛋壳公寓 让生存变成生活 全新配置  一人一锁,1室,1厅,28平米,22/29层,中福城三期北楼,整租,东南,1/2/8号线,2530,huangpu安居客
凯德茂名公馆超值210平华丽出租，理想的选择在于此~！,3室,2厅,269平米,26/28层,凯德茂名公馆,整租,南北,13号线,42900,huangpu安居客
新天地万宜坊婚房出租 全新全套家具家电 温馨舒适,3室,1厅,25平米,10/28层,万宜坊,合租,朝南,10/13号线,2490,huangpu安居客
精装修 热水 沐浴 家具齐全 免费无线网 电梯房,1室,1厅,28平米,8/31层,明日星城,整租,东南,4/9号线,2190,huangpu安居客
滨江名人苑 高区景观房 高素质租客 都市中心 小区闹中取静,3室,2厅,175平米,22/30层,滨江名人苑,整租,南北,无,11000,huangpu安居客
出租 全明户型 有钥匙 双气两房 家具家电齐全,1室,1厅,35平米,13/32层,华盛大公馆,整租,东南,1/2/13号线,2990,huangpu安居客
入住减免2300  实拍精装主卧 女生福利 伴随着阳光起床,3室,1厅,25平米,6/24层,平和里公寓,合租,东南,1/2/8/13号线,1720,huangpu安居客
精装舒适，家电齐全性价比高，适合刚毕业年轻人,1室,1厅,23平米,9/26层,蒙西小区,整租,东南,9/13号线,2300,huangpu安居客
精致装修，温暖舒适周边配套设施齐全室友也都十分友好哦,1室,1厅,23平米,18/27层,步高里,整租,东南,9/12号线,2120,huangpu安居客
南京东路大中华南北通透 好格局 地段 急租,3室,1厅,46平米,11/24层,大中华小区,整租,朝南,1/2/8号线,3290,huangpu安居客
翠湖天地隽荟新房（首）次出租 *房东诚意出租,4室,2厅,288平米,21/32层,翠湖天地隽荟都,整租,南北,8/10/13号线,65000,huangpu安居客
诚意出租，精装舒适，家电齐全离地铁站近，适合上班族,3室,1厅,18平米,19/24层,东淮海公寓,合租,东南,8/10号线,1410,huangpu安居客
人民广场上海滩新昌城好房出租，家具齐全，装修小清新，随时看房,3室,1厅,60平米,11/30层,上海滩新昌城,整租,朝南,1/12/13号线,4500,huangpu安居客
朝南大次卧大阳台带电梯 温馨如家 干净卫生 免费看房,3室,1厅,21平米,17/21层,公馆77,整租,东南,8/9号线,1020,huangpu安居客
地铁4/8号线，精装一房，简欧宜家风格，周边配套齐全，拎包住,1室,1厅,46平米,3/7层,西凌新邨,整租,朝南,4/8号线,3800,huangpu安居客
电梯+新出标准两房一厅 边套 精装全配 地铁4/8西藏南路!,2室,1厅,86平米,13/26层,西凌新邨,整租,南北,4/8号线,6400,huangpu安居客
蛋壳公寓 让生存变成生活 全新配置  一人一锁,3室,1厅,17平米,8/27层,园景苑,合租,东南,8/9/13号线,1240,huangpu安居客
入住减免2300 颜控福利 颜控福利 高颜值北欧风精装,3室,1厅,20平米,16/23层,建德坊,整租,东南,9/10/13号线,1760,huangpu安居客
和时间赛跑，赶地铁，住蛋壳公寓，出门左右拐就到地铁站,3室,1厅,26平米,7/28层,南吉公寓,合租,朝南,8/9号线,2030,huangpu安居客
外滩豪宅+9号线+全屋地暖+地下车位+28000+进口家具家,3室,3厅,185平米,30/33层,华润外滩九里,整租,朝南,9号线,28000,huangpu安居客
蛋壳公寓 颜控福利 伴随着阳光起床 做精致女孩！,3室,1厅,20平米,20/33层,董家渡路450弄小区,合租,东南,4/9号线,1400,huangpu安居客
近地铁站，配套齐全，服务好，随时带看，毕业季租房,1室,1厅,29平米,12/28层,海上梦苑,整租,东南,4/13号线,2830,huangpu安居客
出租 全明户型 有钥匙 随时住 两房 家具家电齐全,1室,1厅,27平米,18/27层,祥康里,整租,东南,1/2/8号线,2410,huangpu安居客
五里桥华丽家族汇景天地婚房出租 全新全套家具家电 温馨舒,1室,1厅,32平米,25/28层,华丽家族汇景天地(公寓),整租,东南,4/13号线,2800,huangpu安居客
蛋壳公寓 全新配置房子可以租，生活不能将就！,3室,1厅,16平米,10/22层,河畔明珠,合租,东南,8/12号线,1210,huangpu安居客
畅你所想，双周给你一个新家，蛋壳公寓双周保洁让你呼吸新鲜空气,3室,1厅,28平米,24/26层,六角大楼,合租,朝南,8/9号线,2360,huangpu安居客
老西门北方公寓家具齐全 随时看房 押一付一 安全可靠,3室,1厅,25平米,20/31层,北方公寓,合租,朝南,8/10/13号线,2140,huangpu安居客
蛋壳公寓 颜控福利 伴随着阳光起床 做精致女孩！,3室,1厅,18平米,17/26层,永业公寓,整租,东南,9/13号线,1270,huangpu安居客
蛋壳公寓 全新配置房子可以租，生活不能将就！,3室,1厅,19平米,6/27层,帝庭,整租,东南,9/13号线,1740,huangpu安居客
直租  便宜出租了 精装一室户 家电齐全 靠近地铁口 拎包住,1室,1厅,28平米,3/6层,开元坊,整租,朝南,8/9号线,2560,huangpu安居客
人民广场苏州河旁 地铁口精装大三房出租,3室,2厅,158平米,16/30层,金色家园,整租,南北,1/8/12/13号线,13000,huangpu安居客
朝南大次卧大阳台带电梯  阳光充足 干净卫生 免费看房,3室,1厅,27平米,17/23层,老西门新苑,合租,朝南,8/9/10号线,2300,huangpu安居客
出租 全明户型 有钥匙 随时住 两房 家具家电齐全,1室,1厅,27平米,18/30层,衍庆里,整租,东南,1/8/12号线,2250,huangpu安居客
豫园瑞福南大楼急租，精装全配，随时看房，随时入住,3室,1厅,19平米,23/26层,瑞福南大楼,合租,东南,8/10号线,1100,huangpu安居客
人民广场金色家园好房出租，家具齐全，装修小清新，随时看房,3室,1厅,19平米,12/25层,金色家园,合租,东南,1/8/12/13号线,1970,huangpu安居客
拎包即可入住，干净整洁的公寓住所，座的你都挑不出来毛病,3室,1厅,15平米,18/26层,富丽华大楼,整租,东南,1/12/13号线,1530,huangpu安居客
人民广场大沽路183弄小清新单间，整洁舒适家具齐全，离地铁,3室,1厅,70平米,11/20层,大沽路183弄小区,整租,朝南,1号线,4680,huangpu安居客
徐泾南山雨果婚房出租 全新全套家具家电 温馨舒适,3室,1厅,17平米,12/20层,南山雨果(别墅),整租,东南,无,1450,qingpu安居客
徐泾西郊园中园好房出租，家具齐全，装修小清新，随时看房,1室,1厅,28平米,13/27层,西郊园中园,整租,东南,无,2260,qingpu安居客
近地铁站小区，精装舒适，在这里遇见更多新朋友,1室,1厅,22平米,5/20层,夏都融庭,整租,东南,无,2250,qingpu安居客
金地天御   带地下室和花园的豪装大平层,4室,3厅,370平米,3/5层,金地天御(别墅),整租,朝南,无,27000,qingpu安居客
花园式小区，大3房2卫全屋地暖，带车位拎包入住，随时起租,3室,2厅,145平米,10/13层,海天花园,整租,南北,无,7000,qingpu安居客
清河湾精装大3房，房东自住装修，家具家电全配，4200包物业,3室,2厅,127平米,10/13层,清河湾佳苑(一期),整租,南北,17号线,4200,qingpu安居客
整租《卓 越世纪中心》2房，性价比高，业主诚租，随时看拎包住,2室,2厅,60平米,16/28层,青浦卓越世纪中心,整租,朝南,17号线,2700,qingpu安居客
精致装修，家电齐全南北通透，采光好急租，拎包入住,3室,1厅,16平米,17/28层,新青浦花苑,合租,东南,17号线,1020,qingpu安居客
小清新单间，整洁舒适家具齐全，离地铁站很近,3室,1厅,16平米,8/23层,徐泾北城海棠馨苑,合租,东南,17号线,1310,qingpu安居客
徐泾泰馨家园好房出租 干净卫生 双周保洁 速速来电,3室,1厅,15平米,10/27层,泰馨家园,合租,东南,17号线,1260,qingpu安居客
降价房源，全新家具家电，看中可以谈，拎包入住，看房有钥匙,2室,2厅,96平米,3/11层,海天花园,整租,南北,无,5500,qingpu安居客
"中建豪华装修全配三房,南北通透,设计全白色,机场口",3室,2厅,120平米,13/18层,中建锦绣天地,整租,南北,17号线,8000,qingpu安居客
精装修 拎包入住 省钱省心 交通便利 购物方便,3室,1厅,15平米,18/20层,虹桥宝龙广场,合租,东南,无,1170,qingpu安居客
楼层 干净整洁 精装修家具家电齐全 交通便利,3室,1厅,15平米,19/33层,庆丰新村,合租,东南,无,1060,qingpu安居客
徐泾北城站800米欣沁苑2室2厅南北通户型，毛坯房,2室,2厅,74平米,16/18层,徐泾北城欣沁苑西苑,整租,南北,17号线,2100,qingpu安居客
双气房 朝南户型 采光好 精装修 家具家电齐全 拎包入住,3室,1厅,18平米,17/28层,崧泽华城华中苑(二区),整租,东南,无,1210,qingpu安居客
急租，近地铁站，适合上班族精装全配，长租更优惠,1室,1厅,34平米,13/27层,徐泾北城馨浦苑(西区),整租,东南,17号线,2800,qingpu安居客
香花桥贺桥公寓环境优美，精致装修，近地铁站，随时看房,3室,1厅,16平米,6/22层,贺桥公寓,合租,东南,17号线,1150,qingpu安居客
五浦汇2房精装 大房东的房子 装修不错 看房随时,2室,2厅,80平米,12/18层,五浦汇崧子苑,整租,朝南,17号线,2700,qingpu安居客
地铁口经.典一室户！全新精装修！家具家电齐全！看房随时！,1室,1厅,68平米,1/6层,民乐佳苑一区,整租,南北,17号线,2200,qingpu安居客
联排别墅，清爽简约，欧式风格，家电家具全配，近地铁,4室,2厅,225平米,1/3层,绿中海明苑,整租,朝南,17号线,11000,qingpu安居客
